CacheCacheStatus,CacheReserveUsed,CacheResponseBytes,CacheResponseStatus,CacheTieredFill,ClientASN,ClientCountry,ClientDeviceType,ClientIP,ClientIPClass,ClientMTLSAuthCertFingerprint,ClientMTLSAuthStatus,ClientRegionCode,ClientRequestBytes,ClientRequestHost,ClientRequestMethod,ClientRequestPath,ClientRequestProtocol,ClientRequestReferer,ClientRequestScheme,ClientRequestSource,ClientRequestURI,ClientRequestUserAgent,ClientSSLCipher,ClientSSLProtocol,ClientSrcPort,ClientTCPRTTMs,ClientXRequestedWith,ContentScanObjResults,ContentScanObjTypes,EdgeCFConnectingO2O,EdgeColoCode,EdgeColoID,EdgeEndTimestamp,EdgePathingOp,EdgePathingSrc,EdgePathingStatus,EdgeRateLimitAction,EdgeRateLimitID,EdgeRequestHost,EdgeResponseBodyBytes,EdgeResponseBytes,EdgeResponseCompressionRatio,EdgeResponseContentType,EdgeResponseStatus,EdgeServerIP,EdgeStartTimestamp,EdgeTimeToFirstByteMs,FirewallMatchesActions,FirewallMatchesRuleIDs,FirewallMatchesSources,OriginDNSResponseTimeMs,OriginIP,OriginRequestHeaderSendDurationMs,OriginResponseBytes,OriginResponseDurationMs,OriginResponseHTTPExpires,OriginResponseHTTPLastModified,OriginResponseHeaderReceiveDurationMs,OriginResponseStatus,OriginResponseTime,OriginSSLProtocol,OriginTCPHandshakeDurationMs,OriginTLSHandshakeDurationMs,ParentRayID,RayID,SecurityLevel,SmartRouteColoID,UpperTierColoID,WAFAction,WAFAttackScore,WAFFlags,WAFMatchedVar,WAFProfile,WAFRCEAttackScore,WAFRuleID,WAFRuleMessage,WAFSQLiAttackScore,WAFXSSAttackScore,WorkerCPUTime,WorkerStatus,WorkerSubrequest,WorkerSubrequestCount,WorkerWallTimeUs,ZoneName,cloudflare,dataSource.category,dataSource.name,dataSource.vendor,message,session,severity,thread,timestamp
GdwdGXd,DfZGV,0,4,False,1061718373779981336,us,hVGwVGY,1.1.1.1,noRecord,,GdwdGXd,NJ,162,ns.example.com:443,GET,/oauth2/v1/token,HTTP/1.1,https://www.imaginariumlabs.io,http,VGVifZZ,/api/v1/notifications,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36",RC4-SHA,none,26164,1,,[],[],DfZGV,eDM,146,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.example.cloud:443,5,1429,1,,301,198.51.100.2,2426-42-26V26:41:24G,26,[],c4f78908-3834-4e96-8d5b-5a9b4b671951,[],4,172.16.0.2,4,4,4,,,4,4,4,GdwdGXd,4,4,4,46f141221Z2hZ616,HVh,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/metadata,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968866875,3,default,1706112430000000000
GdwdGXd,DfZGV,0,4,False,957826589073152541,us,hVGwVGY,192.168.0.4,noRecord,,GdwdGXd,NJ,424,sw.example.cloud:443,GET,/oauth2/v1/authorize,HTTP/1.1,https://www.awesomium.awesome,http,VGVifZZ,/api/v1/categories,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36",DHE-RSA-CHACHA20-POLY1305,none,26122,2,,[],[],DfZGV,eDM,614,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.acme.cloud:443,5,1277,1,,301,8.8.8.8,2426-42-26V26:41:24G,14,[],e5f38a42-9be4-4e4e-98f1-7528a02a1f66,[],4,8.8.8.8,4,4,4,,,4,4,4,GdwdGXd,4,4,4,46f141221Z466244,HVh,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/categories,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968866875,3,default,1706112430000000000
GdwdGXd,DfZGV,0,4,False,136388888888888853,us,hVGwVGY,198.51.100.9,noRecord,,GdwdGXd,NJ,416,sw.example.cloud:443,POST,/audit/logs/access,HTTP/1.1,https://www.awesomium.awesome,http,VGVifZZ,/api/v1/settings,"Mozilla/5.0 (X11; Ubuntu; Linux i686 on x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2820.59 Safari/537.36",AES128-SHA,none,26644,2,,[],[],DfZGV,eDM,612,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.acme.cloud:443,5,1258,1,,301,10.0.0.4,2426-42-26V26:41:24G,22,[],8f03b7f1-f632-4a98-832c-99d1460b33ea,[],4,192.168.0.4,4,4,4,,,4,4,4,GdwdGXd,4,4,4,46f141261h11121K,HVh,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/stats,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968866875,3,default,1706112430000000000
GdwdGXd,DfZGV,0,4,False,386420190842028418,us,hVGwVGY,203.0.113.4,noRecord,,GdwdGXd,NJ,121,na.example.cloud:443,POST,/oauth2/v1/authorize,HTTP/1.1,https://www.intellisphere.smart,http,VGVifZZ,/api/v1/products,"Mozilla/5.0 (Windows NT 4.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2049.0 Safari/537.36",DHE-RSA-CHACHA20-POLY1305,none,26124,2,,[],[],DfZGV,eDM,144,2426-42-26V26:41:24G,XZ,KnZVVfZfGVhDnfVXfZZ,df,,4,na.acme.cloud:443,1745,3025,2.6,text/html,403,192.168.0.3,2426-42-26V26:41:24G,22,[iZGZw],8e15da17-0f57-4f46-aed8-7a68de446bf5,[KnfVXfZZMfdfAVh],4,192.0.2.1,4,4,4,,,4,4,4,GdwdGXd,4,4,4,46f141221Z1f14hZ,Gdw,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/categories,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968866875,3,default,1706112430000000000
GdwdGXd,DfZGV,0,4,False,136388888888888853,us,hVGwVGY,172.16.0.3,noRecord,,GdwdGXd,NJ,114,na.acme.cloud:443,GET,/oauth2/v1/introspect,HTTP/1.1,https://www.quantalin.analytics,http,VGVifZZ,/api/v1/settings,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36",CHACHA20-POLY1305-SHA256,none,26162,1,,[],[],DfZGV,eDM,146,2426-42-26V26:41:24G,XZ,KnZVVfZfGVhDnfVXfZZ,df,,4,ns.example.com:443,1746,3026,2.6,text/html,403,198.51.100.6,2426-42-26V26:41:24G,4,[iZGZw],42d0d22a-7f8a-4966-9754-257b6e525eb4,[KnfVXfZZMfdfAVh],4,203.0.113.8,4,4,4,,,4,4,4,GdwdGXd,4,4,4,46f141261f11241h,Gdw,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/products,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968866875,3,default,1706112430000000000
hGdfHnZ,DfZGV,3869,244,False,136688889887888772,us,hVGwVGY,172.16.0.6,noRecord,,GdwdGXd,OH,6261,ns.example.com:443,POST,/oauth2/v1/token,HTTP/1.1,https://www.flimflam.biz,https,VGVifZZ,/api/v1/notifications,Apache-HttpClient/4.5.13 (Java/11.0.19),DHE-RSA-AES256-GCM-SHA384,TLSv1.2,21266,12,,[],[],DfZGV,YMV,621,2426-42-26V26:41:22G,XZ,HfZfG,df,,4,na.example.cloud:443,99,1362,0.75,application/json,200,127.0.0.1,2426-42-26V26:41:24G,2112,[GwnY],86f6b5dd-b08b-4d69-a20c-853dbf1c014a,[KnfVXfZZlGGVGH],4,192.168.0.6,4,4,2124,,,2211,244,2124444444,VhVp2.2,4,4,4,46f1412Kfifh42fZ,GKK,112,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/categories,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,2511,244,False,136688889887888772,us,hVGwVGY,192.0.2.2,noRecord,,GdwdGXd,VA,2162,na.example.cloud:443,POST,/security/logs/intrusion-detection,HTTP/1.1,https://www.flimflam.biz,https,VGVifZZ,/api/v1/products,Apache-HttpClient/4.5.13 (Java/11.0.20.1),CHACHA20-POLY1305-SHA256,TLSv1.3,21212,2,,[],[],DfZGV,KiV,621,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.example.cloud:443,20,1251,1,application/json,200,192.0.2.2,2426-42-26V26:41:24G,12,[GwnY],ea78a2e2-6901-49eb-9f8c-f6db42e835f8,[KnfVXfZZlGGVGH],1,203.0.113.2,4,4,22,,,24,244,22444444,VhVp2.2,4,4,4,46f14124fZ1K6Ki1,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/metadata,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,3866,244,False,273750333259523741,us,hVGwVGY,198.51.100.4,noRecord,,GdwdGXd,OR,1621,ns.example.com:443,POST,/oauth2/v1/authorize,HTTP/1.1,https://www.awesomium.awesome,https,VGVifZZ,/api/v1/products,Apache-HttpClient/4.5.13 (Java/11.0.20.1),AES128-SHA,TLSv1.2,1216,7,,[],[],DfZGV,hiV,42,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,ns.example.com:443,99,1362,0.75,application/json,200,192.168.0.7,2426-42-26V26:41:24G,16,[GwnY],8e15da17-0f57-4f46-aed8-7a68de446bf5,[KnfVXfZZlGGVGH],4,192.168.0.6,4,4,14,,,12,244,14444444,VhVp2.2,4,4,4,46f141221K264fh1,GKK,112,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/reviews,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,2518,244,False,683006993006993165,us,hVGwVGY,198.51.100.7,noRecord,,GdwdGXd,OR,1646,sw.example.cloud:443,POST,/security/logs/intrusion-detection,HTTP/1.1,https://www.intellisphere.smart,https,VGVifZZ,/api/v1/metadata,Apache-HttpClient/4.5.13 (Java/11.0.20.1),CHACHA20-POLY1305-SHA256,TLSv1.2,24424,7,,[],[],DfZGV,hiV,42,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,ns.example.com:443,99,1362,0.75,application/json,200,198.51.100.7,2426-42-26V26:41:24G,241,[GwnY],1f44e110-3f62-426d-bdff-7c4281b5e990,[KnfVXfZZlGGVGH],4,192.168.0.6,4,4,214,,,214,244,214444444,VhVp2.2,4,4,4,46f141221V414fh1,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/stats,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,3867,244,False,957826589073152541,us,hVGwVGY,10.0.0.2,noRecord,,GdwdGXd,OR,1641,na.example.cloud:443,POST,/audit/logs/system,HTTP/1.1,https://www.ideapalooza.foundation,https,VGVifZZ,/api/v1/metadata,Apache-HttpClient/4.5.13 (Java/11.0.20.1),AES256-SHA256,TLSv1.2,1216,7,,[],[],DfZGV,hiV,42,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.example.cloud:443,99,1362,0.75,application/json,200,172.16.0.8,2426-42-26V26:41:24G,264,[GwnY],c4f78908-3834-4e96-8d5b-5a9b4b671951,[KnfVXfZZlGGVGH],4,192.168.0.5,4,4,211,,,16,244,211444444,VhVp2.2,4,4,4,46f141222hh44fh1,GKK,112,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/metadata,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
