correlationId,description,dhcid,dhcp_csv_parser,eventId,dnsRegError,Logfile/Deployment,ipAddress,hostname,macAddress,qResult,region,relayAgentInformation,vnedorClassASCII
,Renew,,true,11,0,dhcp.log,10.103.26.141,C-61VKM81.tdsb.on.ca,00123FA00039,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.196.114.28,C-7R1J8P1.tdsb.on.ca,842B2BB60A87,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.21.213.45,C-B6FFCF1.tdsb.on.ca,001E4FA01118,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.214.3.96,C-430BBB1.tdsb.on.ca,0013722642B1,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.231.130.49,C-7CGTLN1.tdsb.on.ca,842B2BA410EF,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.249.2.126,C-9V553M1.tdsb.on.ca,0026B981C401,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.100.154.41,C-69FFCF1.tdsb.on.ca,B8AC6F0DFDED,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.203.82.6,C-7Z1THQ1.tdsb.on.ca,782BCB9E151D,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.212.146.100,C-H24JLJ1.tdsb.on.ca,0022192C0338,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.235.50.104,C-F44HWH1.tdsb.on.ca,0021703A2121,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.100.50.42,C-8BCL2D1.tdsb.on.ca,0019B94015C9,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.102.242.20,C-5JYJ15J.tdsb.on.ca,782BCB7F9EE0,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.2.170.99,S-549HLS1.tdsb.on.ca,D4BED993A67D,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.205.34.36,C-94QB3M1.tdsb.on.ca,002564C1A3F4,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.206.50.6,C-F7PSGM1.tdsb.on.ca,B8AC6F1CA625,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.21.245.58,C-2MYFLJ1.tdsb.on.ca,0023AE5EA9AF,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.212.34.9,Morse-St-M-AP3502-101.tdsb.on.ca,4055398E030D,0,us-west-2,,Cisco AP c3500
,Renew,,true,11,0,dhcp.log,10.235.51.114,C-BX8J0F1.tdsb.on.ca,001AA0DAEE7F,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.196.146.22,C-J5YQYQ1.tdsb.on.ca,14FEB5EAFE59,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.204.2.224,C-FQW70B1.tdsb.on.ca,001372178BC8,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.231.66.32,C-7NBH0F1.tdsb.on.ca,001AA0DAB8CC,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.234.82.0,C-5JLXHB1.tdsb.on.ca,00137225CAC7,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.238.35.98,C-G70CX81.tdsb.on.ca,001422394FDA,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.2.170.99,S-549HLS1.tdsb.on.ca,D4BED993A67D,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.214.2.235,C-4F1ZBB1.tdsb.on.ca,00137221E742,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.218.98.146,user-PC.tdsb.on.ca,24B6FD1DB27D,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.222.2.86,C-3JWXFG1.tdsb.on.ca,001E4FDF8D42,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.234.2.61,C-5CBH0F1.tdsb.on.ca,001AA0CE7173,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.234.2.61,C-5CBH0F1.tdsb.on.ca,001AA0CE7173,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.237.2.76,C-CZNJ0F1.tdsb.on.ca,001AA0DB035B,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.3.90.1,C-79VBMJ1.tdsb.on.ca,0022192BE1CE,0,us-west-2,0x020C020A00000A0358010A000000,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.202.36.2,C-91YQ8B1.tdsb.on.ca,001372D8B509,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.237.18.159,Thistletown-CI-L1-AP2702-Off3.tdsb.on.ca,B0AA7769F76C,0,us-west-2,,Cisco AP c2700
,Renew,,true,11,0,dhcp.log,10.237.2.99,C-CF6FPJ1.tdsb.on.ca,0023AE7F3E5C,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.240.66.16,C-F832Y4J.tdsb.on.ca,842B2BACA5F3,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.243.146.214,C-7Z2SQH1.tdsb.on.ca,00219B7C63C2,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.243.146.214,C-7Z2SQH1.tdsb.on.ca,00219B7C63C2,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.40.115.53,C-7Q1TZ4J.tdsb.on.ca,842B2BBD77E2,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.41.50.60,C-9NTYH91.tdsb.on.ca,0013720FBD0C,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,192.168.151.50,KM6A96D5.tdsb.on.ca,00C0EE6A96D5,0,us-west-2,,
,Renew,,true,11,0,dhcp.log,10.196.114.28,C-7R1J8P1.tdsb.on.ca,842B2BB60A87,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.237.2.76,C-CZNJ0F1.tdsb.on.ca,001AA0DB035B,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.253.114.22,C-GLFP0R1.tdsb.on.ca,180373BBA8A4,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.216.114.10,C-6JYVN81.tdsb.on.ca,0014222C79EA,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.40.115.53,C-7Q1TZ4J.tdsb.on.ca,842B2BBD77E2,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.102.138.12,C-HDS0PN1.tdsb.on.ca,F04DA237436A,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.229.130.230,C-3R15YH1.tdsb.on.ca,0021705040B4,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.231.34.78,C-DQLW15J.tdsb.on.ca,782BCB86189A,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.63.98.45,S-DNPFBC1.tdsb.on.ca,0019B9009BC4,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.0.74.157,C-CJXP1D1.tdsb.on.ca,0019B943BAC8,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.21.178.16,C-GRXM4M1.tdsb.on.ca,002564C061E0,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.222.3.42,C-6Q3C5C1.tdsb.on.ca,00188B1EADBF,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.242.98.71,C-B21C0F1.tdsb.on.ca,001AA0CFADB8,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.244.130.158,C-6T7C7G1.tdsb.on.ca,001E4FDA9FDD,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.212.146.7,C-GTY18J1.tdsb.on.ca,00221922512F,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.222.2.86,C-3JWXFG1.tdsb.on.ca,001E4FDF8D42,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.231.66.32,C-7NBH0F1.tdsb.on.ca,001AA0DAB8CC,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.236.50.72,C-7D4WG91.tdsb.on.ca,0014225BE518,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.194.4.41,C-JM8XQB1.tdsb.on.ca,001372AB2DE3,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.201.98.98,C-2JM1291.tdsb.on.ca,00123F7BFEF8,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.215.2.42,C-76F54G1.tdsb.on.ca,001E4FC86407,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.22.34.122,C-25YXYB1.tdsb.on.ca,00188B10317E,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.222.2.49,C-HK6QDG1.tdsb.on.ca,001E4FE888CA,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.226.50.58,C-3N6MDK1.tdsb.on.ca,0023AE97A67E,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.236.114.16,C-GC1VY81.tdsb.on.ca,001422386F4C,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.62.34.48,C-2LQK071.tdsb.on.ca,000F1F961B66,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.102.170.19,CL-CNU1280BGL.tdsb.on.ca,2C413807095C,0,us-west-2,,MSFT 5.0
,Renew,,true,11,0,dhcp.log,10.212.146.7,C-GTY18J1.tdsb.on.ca,00221922512F,0,us-west-2,,MSFT 5.0
