activity_id,activity_name,actor.authorizations[0].policy.uid,actor.session.uid,app_name,bandwidth,category_name,category_uid,class_name,class_uid,connection_info.direction_id,connection_info.protocol_num,dataSource.category,dataSource.name,dataSource.vendor,device.domain,device.name,device.uid,dst_endpoint.interface_name,dst_endpoint.ip,dst_endpoint.location.country,dst_endpoint.port,duration,durationdelta,event.type,message,metadata.log_name,metadata.original_time,metadata.product.name,metadata.product.vendor_name,metadata.uid,metadata.version,metric,monitor,observables[0].name,observables[0].type,observables[0].type_id,observables[0].value,observables[1].name,observables[1].type,observables[1].type_id,observables[1].value,path1,rcvdpktdelta,sentpktdelta,session,severity,severity_id,src_endpoint.interface_name,src_endpoint.ip,src_endpoint.location.country,src_endpoint.port,src_endpoint.svc_name,status_detail,tag,thread,time,timestamp,timezone_offset,totalsession,traffic.bytes_in,traffic.bytes_out,traffic.packets_in,traffic.packets_out,type_name,type_uid,unmapped.action,unmapped.addr,unmapped.appcat,unmapped.cpu,unmapped.date,unmapped.devid,unmapped.devname,unmapped.disk,unmapped.disklograte,unmapped.dstintfrole,unmapped.fazlograte,unmapped.freediskstorage,unmapped.interface,unmapped.level,unmapped.logdesc,unmapped.mem,unmapped.msg,unmapped.policytype,unmapped.rcvddelta,unmapped.sentdelta,unmapped.setuprate,unmapped.srcintfrole,unmapped.sysuptime,unmapped.total,unmapped.trandisp,unmapped.type,unmapped.used,unmapped.vd,unmapped.waninfo,value
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,IOIkRAVc,,,log_session_1359790422459545885,3,,,,,,,,logVolume,metalog,,1722173100021717586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4769
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,kVrQprUkV,,,log_session_1359790422459545885,3,,,,,,,,logVolume,metalog,,1722173100021727186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
99,system,,,,,Uncategorized,0,Base Event,0,,,security,FortiGate,Fortinet,,,,,,,,,,system,-,system,1722173141108343507,FortiGate,Fortinet,c4f78908-3834-4e96-8d5b-5a9b4b671951,3.4.7,,agentSyslog,,,,,,,,,,,,log_session_6649948535594099433,3,99,,,,,,-,,log_2,1807408221474,1722173141108343507,-486,,,,,,Base Event: Other,99,,,,,9949-72-31,hTVgqS-g072ybWOl,XIJtvD-n703zMPuT,,,,,,,notice,QETtupopk DOxeeN bapKIVDwD,,HZoupyJUx UxnmMTwjS dtzsTX LRCn=IUe ZBEU=lva WjbM=rJf ZFMT 253.924.171.1:545,,,,,,,,,PHJUW,,LVrr,,
6,traffic,4,86f6b5dd-b08b-4d69-a20c-853dbf1c014a,Twilio,,Network Activity,4,Network Activity,4001,3,2,security,FortiGate,Fortinet,QMlq,LB-LOAD02-DR,b1d7a914-7db0-45b3-986d-c5f6bc36a198,Kyvz7,10.0.0.3,hMMWhW rOcnSJ,443,76,,traffic,-,local,1722173146261701749,FortiGate,Fortinet,8b201ded-12c1-4a3b-8a36-df548fa0a745,9.4.5,,agentSyslog,hhy_ZOxiLtqI.TD,QN SpndXbZ,9,053.37.58.78,nyl_ApwExjDr.yB,IJ uiISVYH,1,094.877.401.6,,,,log_session_6649948535594099433,3,99,bnRR,192.168.0.1,Canada,3129,RFFdU,,,log_2,3814282220762,1722173146261701749,-715,,31159,1477,75,78,Network Activity: Traffic,400106,server-rst,,BqIDkMaFw,,0895-40-54,,,,,zAVfVrtnv,,,,notice,,,,,,,,hufPwnTYt,,,awVj,,,,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,TdPJHCcl,,,log_session_1362102550056883915,3,,,,,,,,logVolume,metalog,,1722173160036878124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5457
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,QTfgdQSya,,,log_session_1362102550056883915,3,,,,,,,,logVolume,metalog,,1722173160036947015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6,traffic,7,26887007-869d-4ff2-bc5b-44a8c07db4d9,Zoom,,Network Activity,4,Network Activity,4001,3,62,security,FortiGate,Fortinet,wkEK,GW-FW03-STAGE,7f71a485-499e-42f5-9c49-1e2e4cb4870f,iWVp7,203.0.113.9,JJwBXTFn,514,626,348,traffic,-,local,1722173327351702727,FortiGate,Fortinet,6ad8316b-9a4a-4bf4-bf97-20171764e00a,3.3.3,,agentSyslog,DIF_aYQEpGry.zf,pf pnUYIYE,8,989.82.47.93,hyg_RDdmMJBo.sz,GM HtAlAAh,8,009.34.98.24,,5,0,log_session_6649948535594099433,3,99,BGxr,203.0.113.9,Mexico,83910,PRWoRV,,,log_2,7117097145960,1722173327351702727,-403,,0,0356,9,46,Network Activity: Traffic,400106,accept,,xamqVFHoT,,3837-97-59,,,,,WlbQjuMbk,,,,notice,,,,,4,0970,,LLZNXaXxn,,,ApxV,,,,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,nSyBPGke,,,log_session_1362102550056883915,3,,,,,,,,logVolume,metalog,,1722173340038852804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,VpVmnTYKN,,,log_session_1362102550056883915,3,,,,,,,,logVolume,metalog,,1722173340038916092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
99,system,,,,2/9,Uncategorized,0,Base Event,0,,,security,FortiGate,Fortinet,,,,,,,,,,system,-,system,1722173384756180765,FortiGate,Fortinet,42d0d22a-7f8a-4966-9754-257b6e525eb4,6.2.9,,agentSyslog,,,,,,,,,,,,log_session_6649948535594099433,3,99,,,,,,,,log_2,9803441679287,1722173384756180765,-590,1,,,,,Base Event: Other,99,perf-stats,,,0,3112-97-06,mJmqey-h105FFCrQ,VwMDfS-H671xPAuB,4,9,,5,34545,,notice,SjIncC CCeeovCDwvS XXNpefyFxM,45,"fWxPIkeCZjK IFqhlaDTDK: PcfLKQL hpA: 4, kuETJx:  14, bnVoHMtqSq TWjvVWGk:  6, tKSCD-DDrJ: 2",,,,4,,883929,,,Xvxwg,,AKAY,j/H,
