accountName,action,image,album,Logfile/Deployment,request,session,severity,timeMs,user,query,photo,serverHost,page,region,serverIP
default,,,,/var/log/appserver-log,x37654138,,3,2,,,,appserver-1,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x37654138,,3,3,,SELECT,,appserver-1,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x37654138,,3,5,u3274186,,,appserver-1,timeline,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x37654138,,3,8,,,,web-4,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x37654138,,3,9,u3274186,,,web-4,timeline,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x580553537,,3,451,,SELECT,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x580553537,,3,986,u6667714,,,appserver-6,home,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x580553537,,3,4,,SELECT,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x580553537,,3,989,,,,web-4,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x580553537,,3,990,u6667714,,,web-4,home,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x773076171,,3,9,,,,appserver-7,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x773076171,,3,2,,,,appserver-7,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x773076171,,3,11,u9439176,,a8704782,appserver-7,photo,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x773076171,,3,17,,,,web-4,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x773076171,,3,18,u9439176,,,web-4,photo,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x532387346,,3,533,,SELECT,,appserver-4,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x942751853,,3,3,,,,appserver-7,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x942751853,,3,2,,,,appserver-7,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x942751853,,3,5,u1871422,,a170535,appserver-7,photo,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x942751853,,3,11,,,,web-8,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x942751853,,3,12,u1871422,,,web-8,photo,us-west-2,34.199.133.18
default,fetchRecord,,,/var/log/imageserver-log,x60255766,,3,9,,,,image-3,,us-west-2,34.199.133.18
default,serveImage,p5385154,,/var/log/imageserver-log,x60255766,,3,12,,,,image-3,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x60255766,,3,14,,,,web-5,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x60255766,,3,14,u8704782,,,web-5,image,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x532387346,,3,277,,SELECT,,appserver-4,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x532387346,,3,3,,SELECT,,appserver-4,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x532387346,,3,829,u5893479,,,appserver-4,profile,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x532387346,,3,4,,SELECT,,appserver-4,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x532387346,,3,837,,,,web-6,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x532387346,,3,838,u5893479,,,web-6,profile,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x122332459,,3,2,,,,appserver-8,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x122332459,,3,9,,,,appserver-8,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x122332459,,3,11,u8668301,,a8704782,appserver-8,photo,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x122332459,,3,17,,,,web-6,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x122332459,,3,18,u8668301,,,web-6,photo,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x684453571,,3,15,,,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x684453571,,3,4,,SELECT,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x320122278,,3,4,,,,appserver-2,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x320122278,,3,2,,,,appserver-2,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x320122278,,3,6,u8704782,,a5893479,appserver-2,photo,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x320122278,,3,9,,,,web-1,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x320122278,,3,10,u8704782,,,web-1,photo,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x606679986,,3,2,,,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x606679986,,3,3,,SELECT,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x606679986,,3,98,,SELECT,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x606679986,,3,26,,SELECT,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x684453571,,3,439,,SELECT,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x684453571,,3,4,,SELECT,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x432870089,,3,2,,,,appserver-7,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x432870089,,3,8,,,,appserver-7,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x432870089,,3,10,u515765,,a9199466,appserver-7,photo,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x432870089,,3,15,,,,web-6,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x432870089,,3,16,u515765,,,web-6,photo,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x381211872,,3,6,,,,appserver-3,,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x684453571,,3,804,u140199,,,appserver-6,profile,us-west-2,34.199.133.18
default,,,,/var/log/appserver-log,x684453571,,3,342,,SELECT,,appserver-6,,us-west-2,34.199.133.18
default,,,,/var/log/web-log,x684453571,,3,810,,,,web-3,,us-west-2,34.199.133.18
