Action,Application,Bytes,Bytes_Received,Bytes_Sent,Category,Content-Threat_Type,Destination_IP,Destination_Port,Destination_User,Destination_Zone,Direction,Elapsed_Time,Flags,Inbound_Interface,Log_Action,NAT_Destination_IP,NAT_Destination_Port,NAT_Source_IP,NAT_Source_Port,Outbound_Interface,Packets,Protocol,Session_ID,Source_IP,Source_User,Source_Port,Source_Zone,Traffic,Rule_Name
allow,snmp,506,506,506,any,,172.21.23.75,161,,VAdmin-Building,,20,0x0,ethernet1/14,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/18,4,udp,104842,172.24.16.117,,52014,VAdmin-ITConn,true,Admin_Outbound
allow,unknown-udp,2716,2716,2716,any,,172.21.32.158,8321,,VPlant-Building,,63,0x0,ethernet1/13,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/17,42,udp,80296,172.24.1.51,,8320,VPlant-ITConn,true,Plant Outbound
allow,snmp,952,952,952,any,,172.21.41.65,161,,VAdmin-ITConn,,22,0x0,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,7,udp,90368,172.21.23.227,,1070,VAdmin-Building,true,Admin_Inbound
allow,http-proxy,13219,13219,13219,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,18,tcp,92766,172.24.16.203,,4926,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,34051,34051,34051,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,1,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,39,tcp,102610,172.24.16.203,,4921,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,10680,10680,10680,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,16,tcp,99388,172.24.16.203,,4925,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,186556,186556,186556,shopping,,172.21.4.140,8080,,VAdmin-ITConn,,2,0x4,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,204,tcp,102434,172.21.23.225,,3947,VAdmin-Building,true,Admin_Inbound
allow,rtmpt,5261,5261,5261,unknown,,172.17.1.250,8080,,FWeth1-2_Zone,,1,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,14,tcp,89902,172.24.16.203,,4900,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,184275,184275,184275,shopping,,172.17.1.250,8080,,FWeth1-2_Zone,,2,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,180,tcp,102730,172.24.16.201,,4863,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,10182,10182,10182,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,1,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,16,tcp,102845,172.24.16.201,,4902,CoreEth1-2_Zone,true,CoreToFW_Policy
