Action,Bytes,Application,Bytes_Received,Bytes_Sent,Category,Destination_IP,Description,Destination_Port,Destination_User,Destination_Zone,Direction,Elapsed_Time,Event_ID,NAT_Destination_IP,NAT_Destination_Port,NAT_Source_IP,NAT_Source_Port,Packets,Protocol,Serial_Number,Session_ID,Source_IP,Source_Port,Source_User,Source_Zone,System
alert,,web-browsing,,,unknown,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,101140,172.24.16.203,2108,,CoreEth1-2_Zone,
alert,,web-browsing,,,unknown,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,122621,172.24.16.201,2004,,CoreEth1-2_Zone,
allow,146,incomplete,146,146,any,172.24.15.215,,27004,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,2,tcp,0003C102241,114532,172.21.34.211,4231,,VPlant-Building,
allow,146,incomplete,146,146,any,172.24.15.215,,27005,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,2,tcp,0003C102241,91504,172.21.34.211,4232,,VPlant-Building,
allow,146,incomplete,146,146,any,172.24.15.215,,27006,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,2,tcp,0003C102241,92379,172.21.34.211,4233,,VPlant-Building,
allow,146,incomplete,146,146,any,172.24.15.215,,27007,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,2,tcp,0003C102241,120618,172.21.34.211,4234,,VPlant-Building,
allow,146,incomplete,146,146,any,172.24.15.215,,27008,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,2,tcp,0003C102241,94562,172.21.34.211,4235,,VPlant-Building,
allow,6378,http-proxy,6378,6378,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,15,tcp,0003C102241,107989,172.21.22.108,4756,,VAdmin-Building,
allow,4023,http-proxy,4023,4023,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,105839,172.21.22.108,4758,,VAdmin-Building,
allow,1053,rtmpt,1053,1053,unknown,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,89467,172.24.16.201,1564,,CoreEth1-2_Zone,
allow,2071,http-proxy,2071,2071,parked-domains,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,93544,172.24.16.201,1586,,CoreEth1-2_Zone,
allow,1396,http-proxy,1396,1396,spam-urls,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,97873,172.24.16.201,1589,,CoreEth1-2_Zone,
allow,4158,http-proxy,4158,4158,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,11,tcp,0003C102241,89757,172.24.16.203,1602,,CoreEth1-2_Zone,
allow,2312,http-proxy,2312,2312,parked-domains,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,96998,172.21.22.108,4753,,VAdmin-Building,
allow,1577,http-proxy,1577,1577,spam-urls,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,81906,172.21.32.148,2040,,VPlant-Building,
allow,4343,http-proxy,4343,4343,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,13,tcp,0003C102241,110736,172.21.32.148,2038,,VPlant-Building,
allow,11836,http-proxy,11836,11836,spam-urls,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,17,tcp,0003C102241,108158,172.24.16.203,1601,,CoreEth1-2_Zone,
allow,273,dns,273,273,any,172.21.1.211,,53,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,2,udp,0003C102241,105830,172.21.31.129,53217,,VPlant-Building,
allow,276,dns,276,276,any,172.21.1.211,,53,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,2,udp,0003C102241,133626,172.21.31.129,65087,,VPlant-Building,
allow,12173,http-proxy,12173,12173,spam-urls,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,21,tcp,0003C102241,91335,172.21.32.148,2039,,VPlant-Building,
allow,1082,rtmpt,1082,1082,unknown,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,85658,172.21.23.210,3665,,VAdmin-Building,
allow,108974,ssl,108974,108974,business-and-economy,172.17.1.250,,8080,,FWeth1-2_Zone,,35,,0.0.0.0,0,0.0.0.0,0,230,tcp,0003C102241,96181,172.24.16.201,4763,,CoreEth1-2_Zone,
allow,1931,http-proxy,1931,1931,news-and-media,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,125301,172.24.16.203,1594,,CoreEth1-2_Zone,
allow,5770,rtmpt,5770,5770,unknown,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,14,tcp,0003C102241,83011,172.24.16.201,1582,,CoreEth1-2_Zone,
allow,1990,http-proxy,1990,1990,news-and-media,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,109270,172.21.22.108,4749,,VAdmin-Building,
allow,3695,http-proxy,3695,3695,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,93091,172.21.22.108,4759,,VAdmin-Building,
