ClientIP,action,appclass,appname,client.ip,client.public_ip,client.transactiontime,clientpublicIP,clienttranstime,contenttype,dataSource.category,dataSource.name,dataSource.vendor,datetime,department,device.hostname,device.location,device.name,devicehostname,deviceowner,dlp.dict,dlp.engine,dlpdictionaries,dlpengine,event.type,event_id,file.class,file.security_descriptor,file.type,fileclass,filetype,hostname,http_request.length,http_response.length,httprequest.http_method,location,message,monitor,network_activity.activity_id,network_activity.app_name,network_activity.class_name,network_activity.severity,network_activity.status,network_activity.status_detail,network_activity.time,network_activity.type_name,network_connection_info.protocol_name,network_endpoint.dst_ip,network_traffic.bytes,pagerisk,policy.action_name,product,product.vendor_name,protocol,reason,refererURL,requestmethod,requestsize,responsesize,serverip,session,severity,status,thread,threatcategory,threatclass,threatname,timestamp,transactionsize,unscannabletype,url,url.categories,url.class,url.referer_url,url.resource_type,url.text,urlcategory,urlclass,urlsupercategory,user,user.department,user.email_addr,user.user_agent,useragent,vendor,vulnerability_details.category,vulnerabilitydetails.class,vulnerabilitydetails.title,weblog
10.0.0.9,Allowed,General Browsing,Workday,172.16.0.7,198.51.100.9,86,203.0.113.6,70,text/html,security,ZScaler,ZScaler,2024-01-28 16:04:50,uzwgZGz%27dRjrWqdkaf,FW-EX01-DEV,SA-EAST-1,LB-LOAD02-DR,-,Ignatius Inferno,oKFx,EkBy,-,RMDg,text/html,1231123,None,LcvP,None,None,None,FW-PALOALT02-SEC,837,365,GET,AP-SOUTHEAST-2,-,agentSyslog,7329273601235025922,General Browsing,General Browsing,0,200,Allowed,2024-01-28 16:04:50,text/html,HTTP,192.0.2.3,344,0,Allowed,NSS,Zscaler,HTTP,Allowed,https://www.innovoid.space,GET,417,367,203.0.113.4,log_session_5851206930156167106,3,200,log_8,None,None,None,1706500520393202432,001,-,https://www.awesomium.awesome,User-defined,Bandwidth Loss,https://www.quantalin.analytics,SSL Bypass,https://www.awesomium.awesome,SSL Bypass,Bandwidth Loss,User-defined,Phoenix Emberstorm,VMwjpUR%76ToWQMkIYhg,kevin.green@placeholderemail.co,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 EdgA/91.0.864.54","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 EdgA/91.0.864.54",Zscaler,-,-,-,True
192.168.0.9,Allowed,General Browsing,Atlassian,198.51.100.1,192.0.2.8,722,172.16.0.6,512,Other,security,ZScaler,ZScaler,2024-01-28 07:18:31,Yq%96Hn-VoXoveVQwdLXLM%84qFi%93GJCXWnJ,LB-LOAD02-DR,EU-EAST-1,APP-APP01-PROD,-,Seraphina Dragonheart,WmSh,Dtdi,-,YCBy,Other,2342342,None,zIlE,None,None,None,CLUSTER-DB05-INT,8302,1819,NA,AP-SOUTHEAST-1,-,agentSyslog,7329137970520260614,General Browsing,General Browsing,0,NA,Allowed,2024-01-28 07:18:31,Other,SSL,192.0.2.2,68126,0,Allowed,NSS,Zscaler,SSL,Allowed,https://www.flimflam.biz,NA,6377,2644,203.0.113.7,log_session_5851206930156167106,3,NA,log_8,None,None,None,1706500520393202432,60610,-,https://www.synaptogen.synapse,User-defined,Bandwidth Loss,https://www.synaptogen.synapse,SSL Bypass,https://www.imaginariumlabs.io,SSL Bypass,Bandwidth Loss,User-defined,Ignatius Inferno,dR%42kf-yNIHxbdjbNazhv%16PdN%85ViiOtzC,emma.jenkins@examplemail.biz,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/91.0.864.54 Safari/537.36 Edg/91.0.864.54","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 EdgA/91.0.864.54",Zscaler,-,-,-,True
192.168.0.6,Allowed,General Browsing,Datadog,192.168.0.7,203.0.113.0,8724,192.168.0.8,7668,Other,security,ZScaler,ZScaler,2024-01-28 15:30:54,UvtZRkR%78kOTmAQqUhq,APP-APP01-PROD,AP-SOUTHEAST-2,APP-APP01-PROD,-,Nebula Stardust,cJKX,FIWf,-,FeFo,Other,5234242,None,Boqi,None,None,None,APP-APP01-PROD,129,7590,NA,AP-NORTHEAST-2,-,agentSyslog,7329264856844861441,General Browsing,General Browsing,0,NA,Allowed,2024-01-28 15:30:54,Other,SSL,198.51.100.6,0899,0,Allowed,NSS,Zscaler,SSL,Allowed,https://www.disruptionista.rebel,NA,802,6900,192.0.2.8,log_session_5851206930156167106,3,NA,log_8,None,None,None,1706500520393202432,5586,-,https://www.disruptionista.rebel,Information Technology,Business Use,https://www.flimflam.biz,Other Information Technology,https://www.ideapalooza.foundation,Other Information Technology,Business Use,Information Technology,Draven Nightshade,WXAKdEB%80xHptLgHIjZ,kevin.green@placeholderemail.co,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/89.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/91.0.864.54 Safari/537.36 Edg/91.0.864.54",Zscaler,-,-,-,True
10.0.0.9,Allowed,General Browsing,Microsoft 365,10.0.0.2,192.0.2.3,76,10.0.0.7,99,text/plain,security,ZScaler,ZScaler,2024-01-28 10:06:01,khzytWM%05KKGlQNuftp,CLUSTER-DB05-INT,EU-CENTRAL-1,VM-DEV04-APP,-,Zephyr Blaze,opUA,uGYL,-,lkdy,text/plain,1231231,None,tKGM,None,None,None,CLUSTER-DB05-INT,995,880,GET,US-WEST-2,-,agentSyslog,7329181135182495745,General Browsing,General Browsing,0,200,Allowed,2024-01-28 10:06:01,text/plain,HTTP,10.0.0.6,135,0,Allowed,NSS,Zscaler,HTTP,Allowed,https://www.synaptogen.synapse,GET,073,398,192.0.2.5,log_session_5851206930156167106,3,200,log_8,None,None,None,1706500520393202432,240,-,https://www.innovoid.space,Internet Communication,Business Use,https://www.intellisphere.smart,Internet Services,https://www.imaginariumlabs.io,Internet Services,Business Use,Internet Communication,Seraphina Dragonheart,lKyPlEX%52XZmQCrmqgc,mark.miller@yourtestmail.biz,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/91.0.864.54 Safari/537.36 Edg/91.0.864.54",Zscaler,-,-,-,True
172.16.0.1,Allowed,General Browsing,ZenDesk,203.0.113.1,10.0.0.8,42,203.0.113.2,72,text/html,security,ZScaler,ZScaler,2024-01-28 05:38:44,oGWOYiT%48IcpyPqNqte,NAS-STOR01-UAT,US-EAST-1,VM-DEV04-APP,-,Maximus Stormbringer,PmwO,bLQK,-,YAMp,text/html,1231231,None,LOpy,None,None,None,SRV-WEB02-QA,445,006,GET,EU-NORTH-1,-,agentSyslog,7329112256742621185,General Browsing,General Browsing,0,200,Allowed,2024-01-28 05:38:44,text/html,HTTP,172.16.0.7,073,0,Allowed,NSS,Zscaler,HTTP,Allowed,https://www.intellisphere.smart,GET,182,692,192.0.2.6,log_session_5851206930156167106,3,200,log_8,None,None,None,1706500520393202432,431,-,https://www.synaptogen.synapse,User-defined,Bandwidth Loss,https://www.intellisphere.smart,SSL Bypass,https://www.intellisphere.smart,SSL Bypass,Bandwidth Loss,User-defined,Nova Frostbane,FlUkzjp%90gLcjurSxvi,john.doe@example.com,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 OPR/77.0.4054.90","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 EdgA/91.0.864.54",Zscaler,-,-,-,True
198.51.100.5,Allowed,General Browsing,Dropbox,192.168.0.3,172.16.0.3,3,198.51.100.8,3,text/plain,security,ZScaler,ZScaler,2024-01-28 03:36:55,VXBjMzs%02kprSJTzeTm,DB-SQL03-TEST,AP-CENTRAL-1,LB-LOAD02-DR,-,Nova Frostbane,FpfM,TNzw,-,JHkE,text/plain,1231231,None,ARUM,None,None,None,GW-FW03-STAGE,549,076,GET,AP-NORTHEAST-2,-,agentSyslog,7329080865345699841,General Browsing,General Browsing,0,200,Allowed,2024-01-28 03:36:55,text/plain,HTTP,192.168.0.5,293,0,Allowed,NSS,Zscaler,HTTP,Allowed,https://www.synaptogen.synapse,GET,600,765,198.51.100.2,log_session_5851206930156167106,3,200,log_8,None,None,None,1706500520393202432,778,-,https://www.imaginariumlabs.io,Internet Communication,Business Use,https://www.intellisphere.smart,Internet Services,https://www.intellisphere.smart,Internet Services,Business Use,Internet Communication,Nebula Stardust,OPmdyqL%15pMLZkYyDlo,ryan.collins@fakemailbox.net,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 OPR/77.0.4054.90",Zscaler,-,-,-,True
203.0.113.4,Allowed,IT Services,DocuSign,10.0.0.6,172.16.0.8,37855,203.0.113.9,76275,Other,security,ZScaler,ZScaler,2024-01-28 06:19:17,KqZhuwy%43UgCwpSEyvD,CLUSTER-DB05-INT,US-EAST-1,APP-APP01-PROD,-,Crimson Tempest,LolP,mddE,-,wGvt,Other,6456456,None,wEoO,None,None,None,NAS-STOR01-UAT,1254,89768,NA,AP-SOUTHEAST-2,-,agentSyslog,7329122706416664577,Microsoft Login Services,IT Services,0,NA,Allowed,2024-01-28 06:19:17,Other,SSL,203.0.113.4,50660,0,Allowed,NSS,Zscaler,SSL,Allowed,https://www.innovoid.space,NA,8296,32078,1.1.1.1,log_session_5851206930156167106,3,NA,log_8,None,None,None,1706500520393202432,79991,-,https://www.intellisphere.smart,User-defined,Bandwidth Loss,https://www.disruptionista.rebel,SSL Bypass,https://www.quantalin.analytics,SSL Bypass,Bandwidth Loss,User-defined,Ignatius Inferno,qjNUzWu%06sAbuoUWxxs,ryan.collins@fakemailbox.net,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 YaBrowser/21.6.4 Yowser/2.5 Safari/537.36","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Zscaler,-,-,-,True
198.51.100.5,Allowed,System and Development,Stripe,10.0.0.5,172.16.0.2,88467,10.0.0.9,39529,Other,security,ZScaler,ZScaler,2024-01-28 16:11:30,EXLfxuG%25gvTFLSBetG,CLUSTER-DB05-INT,US-WEST-1,VM-DEV04-APP,-,Zephyr Blaze,ZWHN,NHfR,-,OkVc,Other,5234242,None,IjWR,None,None,None,GW-FW03-STAGE,2416,0639,NA,EU-SOUTH-1,-,agentSyslog,7329275319701471235,Microsoft Defender Advanced Threat Protection,System and Development,0,NA,Allowed,2024-01-28 16:11:30,Other,SSL,192.0.2.3,45561,0,Allowed,NSS,Zscaler,SSL,Allowed,https://www.awesomium.awesome,NA,2709,5609,192.168.0.8,log_session_5851206930156167106,3,NA,log_8,None,None,None,1706500520440272384,05056,-,https://www.ideapalooza.foundation,User-defined,Bandwidth Loss,https://www.awesomium.awesome,SSL Bypass,https://www.ideapalooza.foundation,SSL Bypass,Bandwidth Loss,User-defined,Nova Frostbane,MAJKMsP%11lmLtRrZAKr,brian.hughes@samplemailing.co,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 EdgA/91.0.864.54","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 EdgA/91.0.864.54",Zscaler,-,-,-,True
198.51.100.2,Allowed,General Browsing,Microsoft Azure,203.0.113.1,198.51.100.9,525293,192.168.0.5,097621,Other,security,ZScaler,ZScaler,2024-01-28 12:42:30,tavVhzC%19MlIOJdmhel,CLUSTER-DB05-INT,EU-SOUTH-1,FW-EX01-DEV,-,Valkyrie Firestorm,XIOL,dbXm,-,YIMr,Other,6456456,None,wYvJ,None,None,None,APP-APP01-PROD,3251,7542,NA,EU-WEST-1,-,agentSyslog,7329221460247248897,General Browsing,General Browsing,0,NA,Allowed,2024-01-28 12:42:30,Other,SSL,198.51.100.1,5275,0,Allowed,NSS,Zscaler,SSL,Allowed,https://www.ideapalooza.foundation,NA,0936,8112,10.0.0.7,log_session_5851206930156167106,3,NA,log_8,None,None,None,1706500520440272384,8957,-,https://www.flimflam.biz,User-defined,Bandwidth Loss,https://www.flimflam.biz,SSL Bypass,https://www.innovoid.space,SSL Bypass,Bandwidth Loss,User-defined,Thunder Hammerstrike,byCgtlZ%79NGczevyGYk,laura.moore@sandboxmail.co,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 YaBrowser/21.6.4 Yowser/2.5 Safari/537.36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Zscaler,-,-,-,True
198.51.100.9,Allowed,IT Services,Stripe,192.0.2.2,203.0.113.2,0706,192.168.0.2,9011,Other,security,ZScaler,ZScaler,2024-01-28 20:09:39,ayCRIOy%74vIXCGQgUOd,VM-DEV04-APP,US-WEST-1,FW-PALOALT02-SEC,-,Ragnarok Shadowblade,FUzr,AJJS,-,rPMb,Other,5234242,None,GgZu,None,None,None,FW-EX01-DEV,570,9330,NA,EU-SOUTH-1,-,agentSyslog,7329336690183307265,Microsoft Login Services,IT Services,0,NA,Allowed,2024-01-28 20:09:39,Other,SSL,10.0.0.5,7222,0,Allowed,NSS,Zscaler,SSL,Allowed,https://www.synaptogen.synapse,NA,348,8512,10.0.0.2,log_session_5851206930156167106,3,NA,log_8,None,None,None,1706500520440272384,7915,-,https://www.imaginariumlabs.io,User-defined,Bandwidth Loss,https://www.flimflam.biz,SSL Bypass,https://www.innovoid.space,SSL Bypass,Bandwidth Loss,User-defined,Phoenix Emberstorm,rnodYpP%69LVjdYFoeON,john.doe@acme.com,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/91.0.864.54 Safari/537.36 Edg/91.0.864.54",Zscaler,-,-,-,True
